angles,ranges
0.16499,87
0.29333,87
0.31499,88.6
0.32999,87
0.35582,90.1
0.57666,87
0.64499,88.6
1.01062,85.5
1.69124,85.5
2.37187,87
3.05249,85.5
3.73312,85.5
3.91999,85.4
4.41374,85.5
4.60902,85.4
5.09437,85.5
5.29805,85.4
5.77499,85.5
5.98708,85.4
6.45562,85.5
6.6761,85.4
6.95999,85.4
7.13624,85.5
7.36513,85.4
7.62381,85.4
7.81687,85.5
8.05416,85.4
8.28763,85.4
8.74319,85.4
8.95145,85.4
9.25999,85.5
9.39999,85.4
9.43222,85.4
9.61527,85.4
9.9284,85.5
10.06687,85.4
10.12124,85.4
10.27909,85.4
10.40999,85.5
10.5968,85.5
10.73374,85.4
10.81027,85.4
10.94291,85.4
11.07228,85.5
11.2652,85.5
11.40062,85.4
11.4993,87
11.60673,85.4
11.73458,85.5
11.77999,85.5
11.93361,85.5
12.06749,85.4
12.27055,85.4
12.39687,85.5
12.44458,85.5
12.60201,85.5
12.73437,85.4
12.93437,85.4
13.05916,85.5
13.10916,85.5
13.27041,85.5
13.40124,85.4
13.46999,85.5
13.59819,87
13.72145,85.5
13.77374,85.5
13.93881,85.5
14.06811,85.4
14.12388,85.5
14.262,85.4
14.38374,87
14.43833,85.5
14.60722,85.5
14.73499,85.4
14.77777,85.5
15.04603,87
15.10291,85.5
15.16999,85.4
15.27562,85.5
15.40187,85.4
15.43166,85.5
15.70833,87
15.76749,87
15.83992,85.4
15.94402,87
16.06874,87
16.08555,85.5
16.37062,87
16.43208,87
16.50985,85.4
16.61242,87
16.73562,87
16.73944,87
17.03291,87
17.09666,87
17.17978,87
17.22999,87
17.39333,87
17.54999,87
17.6952,87
17.76124,85.5
17.84972,87
17.90756,87
18.04721,87
18.2268,87
18.42582,87
18.51965,87
18.58513,87
18.7011,87
18.9036,87
19.09041,87
19.18958,87
19.2627,87
19.35499,87
19.58041,87
19.85951,87
19.94027,85.5
20.00888,87
20.25722,88.6
20.52944,87
20.61784,87
20.66277,87
20.93402,88.6
21.19936,87
21.29541,88.6
21.39999,88.6
21.59999,88.6
21.61082,88.6
21.66999,87
21.8693,88.6
21.97298,88.6
22.04471,88.6
22.09999,87.1
22.25694,88.6
22.28763,88.6
22.33305,88.6
22.53923,88.6
22.65055,88.6
22.68944,88.6
22.76534,88.6
22.91388,88.6
22.96444,88.6
22.9961,88.6
23.32811,88.6
23.33416,88.6
23.43069,88.6
23.57083,88.6
23.64124,88.6
23.65916,88.6
23.97888,88.6
24.00569,90.1
24.09603,88.6
24.22777,88.6
24.31805,90.1
24.32221,88.6
24.6236,88.6
24.68326,90.1
24.76138,88.6
24.88472,88.6
24.98527,90.1
24.99485,90.1
25.26833,90.1
25.42673,90.2
25.54166,90.1
25.64832,90.1
25.91305,90.1
26.09207,90.2
26.11999,90.1
26.1986,90.1
26.31138,90.1
26.55777,90.1
26.75742,90.2
26.78916,90.1
26.85555,90.1
26.97444,90.1
27.20249,91.7
27.42277,90.2
27.45833,90.1
27.45999,90.1
27.51249,90.1
27.63749,90.1
27.84722,91.7
28.08812,91.7
28.1261,91.7
28.1275,91.7
28.16944,90.1
28.30055,91.7
28.49194,91.7
28.75346,91.7
28.79221,91.7
28.79666,91.7
28.82638,91.7
28.9636,91.7
29.41881,93.3
29.45832,91.7
29.46583,91.7
30.10457,87
30.12444,91.7
30.13499,93.2
30.23305,88.6
30.25457,88.6
30.29548,88.6
30.51527,87
30.58381,88.6
30.79055,93.2
30.80416,93.2
31.05999,93.3
31.45666,93.2
31.47333,93.2
31.73527,93.3
32.12277,93.2
32.14249,94.8
32.41054,93.3
32.78888,94.8
32.81166,94.8
33.04,94.8
33.08583,94.8
33.10999,94.8
33.45499,96.4
33.48082,96.4
33.7145,94.8
33.7611,94.8
33.78603,94.8
34.1211,96.4
34.38902,94.8
34.43638,96.4
34.46208,94.8
34.78721,96.4
35.06353,96.4
35.11166,96.4
35.13812,96.4
35.73805,96.4
35.78693,97.9
35.81416,96.4
36.41256,96.4
36.46222,97.9
36.4902,98
37.08708,97.9
37.13749,97.9
37.16624,98
37.76159,97.9
37.81277,99.5
37.84228,99.5
38.43611,99.5
38.48805,99.5
38.51833,99.5
39.11062,101
39.19437,101.1
39.34999,99.4
39.43999,99.5
39.78513,101
39.83999,99.5
39.87041,101.1
40.01152,99.4
40.1061,101
40.30999,101
40.45964,102.6
40.50916,99.5
40.54645,101.1
40.67305,101
40.77221,101
40.9761,101
41.17833,101
41.33457,102.5
41.43833,102.6
41.64222,102.6
41.84749,102.6
41.9961,102.5
42.06,102.5
42.10443,102.6
42.30833,104.1
42.51666,102.6
42.65763,104.1
42.72228,102.5
42.77054,102.6
42.97444,104.1
43.18582,104.1
43.31916,104.1
43.38458,104.1
43.43666,105.7
43.64055,105.7
43.85499,105.7
43.98068,105.6
44.04687,105.6
44.10277,105.7
44.13,105.7
44.30666,105.7
44.52416,105.7
44.53999,104.1
44.64221,107.2
44.70916,107.2
44.76888,105.7
44.79457,105.7
44.97277,104.1
45.19332,107.2
45.1977,104.1
45.30374,107.2
45.31,107.2
45.37145,108.7
45.43499,108.8
45.45916,104.1
45.63889,108.8
45.85541,107.3
45.86249,107.2
45.96527,108.8
45.97763,105.7
46.03374,108.7
46.1011,110.3
46.12374,108.8
46.30499,110.3
46.51312,108.8
46.53166,110.3
46.6268,110.3
46.64527,108.8
46.69603,110.3
46.76721,110.3
46.78832,110.3
46.9711,110.3
47.17083,110.4
47.20083,110.3
47.27999,108.8
47.31291,110.3
47.35833,110.3
47.45291,110.3
47.63721,111.9
47.65,110.4
47.82854,110.4
47.92013,110.3
47.98055,110.3
48.02062,111.9
48.11749,111.9
48.32527,111.9
48.40999,110.3
48.48624,113.5
48.56027,111.9
48.64819,111.9
48.68291,113.4
48.78207,113.5
49.00055,111.9
49.08527,111.9
49.14395,113.5
49.20041,113.5
49.31582,113.5
49.3452,115
49.44666,115
49.67583,113.5
49.76055,113.5
49.80166,115
49.84055,115
49.98346,115
50.11124,116.6
50.3511,115
50.43583,115
50.45937,116.6
50.48069,116.6
50.6511,116.6
50.77582,118.1
51.02638,116.6
51.1111,116.6
51.11708,118.1
51.12083,118.1
51.31874,118.1
51.44041,119.7
51.59999,116.6
51.70166,118.1
51.76096,119.7
51.77479,119.7
51.78638,118.1
51.98638,119.7
52.2661,118.1
52.37694,119.7
52.4011,121.2
52.46166,119.7
52.65402,121.2
52.93221,121.2
53.04124,122.8
53.05221,121.2
53.13694,121.2
53.59832,122.8
53.68138,122.8
53.72749,122.8
53.81221,122.8
54.26443,124.3
54.32152,125.9
54.40277,125.9
54.48749,124.3
54.72999,122.8
54.93055,124.3
55.07805,125.9
55.16277,125.9
55.39763,124.3
55.59666,127.4
55.83805,127.5
56.06527,125.9
56.26277,127.4
56.55999,127.4
56.63999,127.5
56.73291,127.4
56.92888,125.9
57.22458,127.4
57.30534,127.5
57.40055,125.9
57.56999,125.9
57.59499,124.3
57.88916,125.9
57.97068,125.9
58.06818,124.3
58.23763,124.4
58.2611,122.8
58.55374,124.3
58.63603,124.3
58.73582,122.8
58.90527,122.8
58.92721,121.2
59.21833,122.7
59.22999,124.3
59.30138,122.8
59.40346,122.8
59.57291,122.8
59.72999,122.8
59.88291,121.2
59.89687,122.8
59.96673,121.2
60.0711,119.7
60.24055,121.2
60.40833,121.2
60.54749,119.6
60.56374,121.2
60.62999,121.3
60.63207,119.7
60.73874,119.7
60.90819,119.7
61.08666,121.2
61.21208,118.1
61.23062,119.7
61.29742,118.1
61.32207,119.7
61.40638,118.1
61.57583,118.1
61.76499,119.7
61.87666,118.1
61.89749,118.1
61.96277,118.1
62.01416,118.2
62.07402,116.6
62.24347,116.6
62.44332,118.1
62.54124,115
62.56437,116.6
62.62812,116.6
62.70624,116.6
62.75999,116.6
62.9111,115
63.12166,116.6
63.20583,115
63.23124,116.6
63.29346,113.5
63.39833,116.6
63.47422,116.6
63.57874,115
63.79999,115
63.87041,113.4
63.89812,115
63.95881,113.5
64.09041,115.1
64.18846,115
64.24638,113.5
64.47833,115
64.56499,113.5
64.60999,115
64.78249,113.5
64.9027,113.4
64.91402,113.5
65.15666,113.5
65.23186,113.5
65.24999,113.5
65.29826,113.5
65.31999,113.5
65.47458,113.5
65.61693,113.4
65.83499,111.9
65.89874,111.9
65.93673,113.5
65.98652,113.5
66.01055,111.9
66.16666,110.4
66.33117,113.4
66.51332,110.4
66.56562,110.3
66.62346,111.9
66.67478,111.9
66.7011,111.9
66.85874,110.4
67.04541,110.3
67.19166,110.4
67.3102,110.4
67.36305,110.3
67.39166,110.3
67.55083,110.4
67.75965,110.3
67.99694,110.4
68.05131,110.3
68.08221,110.3
68.24291,107.3
68.47388,108.8
68.68367,108.8
68.73958,108.8
68.77277,108.8
69.18812,108.8
69.3,108.8
69.37041,107.3
69.42784,107.2
69.43999,108.8
69.46332,107.2
69.73,108.8
69.90235,107.2
69.96534,107.2
70.05714,107.3
70.10763,108.8
70.11611,107.2
70.15388,107.2
70.39458,107.3
70.61659,107.2
70.63069,107.2
70.74388,105.7
70.77527,107.2
70.80437,107.2
70.84444,107.2
71.05916,107.3
71.29604,107.2
71.43061,105.7
71.44291,107.2
71.49263,105.7
71.53499,105.7
71.72375,105.7
71.96139,105.7
72.11055,105.7
72.11735,105.7
72.1809,104.1
72.22555,104.1
72.38833,105.7
72.62673,105.7
72.77819,104.1
72.80409,104.1
72.91611,104.1
73.05291,104.2
73.29208,104.1
73.44583,104.1
73.7175,104.2
73.95743,104.1
74.11347,104.1
74.38208,102.6
74.41,104.1
74.62277,102.6
74.78111,102.6
74.98,104.1
75.04666,102.6
75.07229,104.1
75.28812,102.6
75.44874,102.6
75.64458,102.6
